country,region,vintage,wsscore,rpscore,wescore,score,status
Argentina,Mendoza,2018,91,95,92,93,Hold
Argentina,Mendoza,2017,89,92,91,91,Drink or hold
Argentina,Mendoza,2016,84,96,84,88,Drink or hold
Argentina,Mendoza,2015,85,92,85,87,Drink
Argentina,Mendoza,2014,87,92,85,88,Drink or hold
Argentina,Mendoza,2013,90,95,90,92,Drink or hold
Argentina,Mendoza,2012,87,91,87,88,Drink or hold
Argentina,Mendoza,2011,91,94,89,91,Drink or hold
Argentina,Mendoza,2010,89,92,90,90,Drink or hold
Argentina,Mendoza,2009,88,90,89,89,Drink or hold
Argentina,Mendoza,2008,86,91,87,88,Drink or hold
Argentina,Mendoza,2007,88,92,86,89,Drink or hold
Argentina,Mendoza,2006,91,94,93,93,Drink
Argentina,Mendoza,2005,90,93,89,91,Drink
Argentina,Mendoza,2004,90,91,88,90,Drink
Argentina,Mendoza,2003,91,92,92,92,Drink
Argentina,Mendoza,2002,94,93,94,94,Drink
Argentina,Mendoza,2001,87,89,85,87,Drink
Argentina,Mendoza,2000,86,89,87,87,Past peak
Argentina,Mendoza,1999,90,90,90,90,Past peak
Argentina,Mendoza,1998,75,78,83,79,Past peak
Argentina,Mendoza,1997,88,86,89,88,Past peak
Argentina,Mendoza,1996,94,93,95,94,Past peak
Argentina,Mendoza,1995,93,94,95,94,Past peak
Australia,Barossa and McLaren Vale: Shiraz,2019,92,92,93,92,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2018,93,92,96,94,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2017,92,89,92,91,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2016,93,91,92,92,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2015,94,94,91,93,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2014,91,87,90,89,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2013,90,94,93,92,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2012,95,94,96,95,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2011,80,80,83,81,Drink
Australia,Barossa and McLaren Vale: Shiraz,2010,94,96,91,94,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2009,87,89,91,89,Drink
Australia,Barossa and McLaren Vale: Shiraz,2008,91,85,87,88,Drink
Australia,Barossa and McLaren Vale: Shiraz,2007,88,87,89,88,Drink
Australia,Barossa and McLaren Vale: Shiraz,2006,92,94,91,92,Drink
Australia,Barossa and McLaren Vale: Shiraz,2005,96,96,95,96,Drink
Australia,Barossa and McLaren Vale: Shiraz,2004,93,94,94,94,Drink
Australia,Barossa and McLaren Vale: Shiraz,2003,85,90,87,87,Drink
Australia,Barossa and McLaren Vale: Shiraz,2002,90,95,94,93,Drink or hold
Australia,Barossa and McLaren Vale: Shiraz,2001,92,95,93,93,Drink
Australia,Barossa and McLaren Vale: Shiraz,2000,90,88,87,88,Drink
Australia,Barossa and McLaren Vale: Shiraz,1998,95,95,89,93,Drink
Australia,Barossa and McLaren Vale: Shiraz,1996,90,90,93,91,Drink
Australia,Barossa and McLaren Vale: Shiraz,1994,90,90,90,90,Drink
Australia,Victoria: Shiraz,2019,93,91,92,92,Drink or hold
Australia,Victoria: Shiraz,2018,92,92,92,92,Drink or hold
Australia,Victoria: Shiraz,2017,93,87,90,90,Drink or hold
Australia,Victoria: Shiraz,2016,90,91,90.5,91,Drink or hold
Australia,Victoria: Shiraz,2015,94,93,93.5,94,Drink or hold
Australia,Victoria: Shiraz,2014,91,90,90.5,91,Drink or hold
Australia,Victoria: Shiraz,2013,92,93,92.5,93,Drink or hold
Australia,Victoria: Shiraz,2012,88,94,91,91,Drink
Australia,Victoria: Shiraz,2011,82,78,80,80,Drink
Australia,Victoria: Shiraz,2010,92,92,92,92,Drink
Australia,Victoria: Shiraz,2009,85,87,86,86,Drink or hold
Australia,Victoria: Shiraz,2008,93,88,90.5,91,Drink
Australia,Victoria: Shiraz,2007,89,88,88.5,89,Drink
Australia,Victoria: Shiraz,2006,87,93,90,90,Drink
Australia,Victoria: Shiraz,2005,94,91,92.5,93,Drink
Australia,Victoria: Shiraz,2004,88,90,89,89,Drink
Australia,Victoria: Shiraz,2003,91,88,89.5,90,Drink
Australia,Victoria: Shiraz,2002,84,88,86,86,Past peak
Australia,Victoria: Shiraz,2001,90,90,90,90,Drink
Austria,Riesling and Grüner Veltliners Whites,2018,91,91,94,92,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2017,94,92,94,93,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2016,92,90,94,92,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2015,95,95,94,95,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2014,87,78,90,85,Drink
Austria,Riesling and Grüner Veltliners Whites,2013,92,91,93,92,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2012,90,89,94,91,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2011,90,89,94,91,Drink
Austria,Riesling and Grüner Veltliners Whites,2010,89,88,90,89,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2009,92,89,93,91,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2008,94,88,89,90,Drink
Austria,Riesling and Grüner Veltliners Whites,2007,93,90,90,91,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2006,95,91,92,93,Drink or hold
Austria,Riesling and Grüner Veltliners Whites,2005,92,87,88,89,Drink
Austria,Riesling and Grüner Veltliners Whites,2004,89,88,88,88,Past peak
Austria,Riesling and Grüner Veltliners Whites,2003,88,89,87,88,Past peak
Austria,Riesling and Grüner Veltliners Whites,2002,90,89,88,89,Drink
Austria,Riesling and Grüner Veltliners Whites,2001,89,88,89,89,Drink
Austria,Riesling and Grüner Veltliners Whites,2000,85,85,86,85,Drink
Austria,Riesling and Grüner Veltliners Whites,1999,95,95,92,94,Drink
Austria,Riesling and Grüner Veltliners Whites,1998,82,82,88,84,Drink
Austria,Riesling and Grüner Veltliners Whites,1997,96,96,89,94,Drink
Austria,Riesling and Grüner Veltliners Whites,1996,84,84,88,85,Drink
Austria,Riesling and Grüner Veltliners Whites,1995,90,90,88,89,Drink
Chile,Reds,2018,92,96,92,93,Drink or hold
Chile,Reds,2017,88,91,86,88,Drink or hold
